,상권_구분_코드_명,서비스_업종_코드_명,비율 방식,남성 > 여성 비율
154,관광특구,호프-간이주점,남성 > 여성 비율,0.0
224,전통시장,자전거 및 기타운송장비,남성 > 여성 비율,0.0
55,발달상권,편의점,남성 > 여성 비율,0.0
236,전통시장,PC방,남성 > 여성 비율,0.0
153,관광특구,자동차수리,남성 > 여성 비율,0.0
182,관광특구,스포츠클럽,남성 > 여성 비율,0.0
181,관광특구,편의점,남성 > 여성 비율,0.0
176,관광특구,골프연습장,남성 > 여성 비율,0.0
175,관광특구,치킨전문점,남성 > 여성 비율,0.0
131,관광특구,자동차미용,남성 > 여성 비율,0.0
35,발달상권,자전거 및 기타운송장비,남성 > 여성 비율,0.0
241,전통시장,부동산중개업,남성 > 여성 비율,0.0
167,관광특구,의료기기,남성 > 여성 비율,0.0
139,관광특구,당구장,남성 > 여성 비율,0.0
164,관광특구,철물점,남성 > 여성 비율,0.0
160,관광특구,가전제품,남성 > 여성 비율,0.0
151,관광특구,조명용품,남성 > 여성 비율,0.0
132,관광특구,노래방,남성 > 여성 비율,0.0
37,발달상권,한식음식점,남성 > 여성 비율,0.004048582995951417
118,골목상권,편의점,남성 > 여성 비율,0.006024096385542169
47,발달상권,PC방,남성 > 여성 비율,0.008333333333333333
110,골목상권,PC방,남성 > 여성 비율,0.009433962264150943
6,발달상권,노래방,남성 > 여성 비율,0.010471204188481676
244,전통시장,편의점,남성 > 여성 비율,0.01680672268907563
76,골목상권,당구장,남성 > 여성 비율,0.021739130434782608
49,발달상권,치킨전문점,남성 > 여성 비율,0.02617801047120419
195,전통시장,노래방,남성 > 여성 비율,0.02631578947368421
202,전통시장,당구장,남성 > 여성 비율,0.02631578947368421
46,발달상권,여관,남성 > 여성 비율,0.03076923076923077
100,골목상권,한식음식점,남성 > 여성 비율,0.034170854271356785
27,발달상권,자동차수리,남성 > 여성 비율,0.03496503496503497
78,골목상권,중식음식점,남성 > 여성 비율,0.03508771929824561
50,발달상권,골프연습장,남성 > 여성 비율,0.0392156862745098
239,전통시장,골프연습장,남성 > 여성 비율,0.04
69,골목상권,노래방,남성 > 여성 비율,0.04807692307692308
28,발달상권,호프-간이주점,남성 > 여성 비율,0.049107142857142856
13,발달상권,당구장,남성 > 여성 비율,0.054187192118226604
15,발달상권,중식음식점,남성 > 여성 비율,0.05504587155963303
217,전통시장,호프-간이주점,남성 > 여성 비율,0.060109289617486336
90,골목상권,자동차수리,남성 > 여성 비율,0.060550458715596334
112,골목상권,치킨전문점,남성 > 여성 비율,0.06066176470588235
109,골목상권,여관,남성 > 여성 비율,0.06132075471698113
91,골목상권,호프-간이주점,남성 > 여성 비율,0.06286549707602339
226,전통시장,한식음식점,남성 > 여성 비율,0.06545454545454546
58,발달상권,일식음식점,남성 > 여성 비율,0.07317073170731707
215,전통시장,가전제품수리,남성 > 여성 비율,0.07692307692307693
68,골목상권,자동차미용,남성 > 여성 비율,0.07746478873239436
235,전통시장,여관,남성 > 여성 비율,0.08333333333333333
115,골목상권,부동산중개업,남성 > 여성 비율,0.1
204,전통시장,중식음식점,남성 > 여성 비율,0.10185185185185185
113,골목상권,골프연습장,남성 > 여성 비율,0.10344827586206896
216,전통시장,자동차수리,남성 > 여성 비율,0.10810810810810811
238,전통시장,치킨전문점,남성 > 여성 비율,0.12213740458015267
25,발달상권,조명용품,남성 > 여성 비율,0.13432835820895522
38,발달상권,철물점,남성 > 여성 비율,0.1346153846153846
121,골목상권,일식음식점,남성 > 여성 비율,0.13565891472868216
24,발달상권,완구,남성 > 여성 비율,0.14814814814814814
98,골목상권,자전거 및 기타운송장비,남성 > 여성 비율,0.15625
133,관광특구,패스트푸드점,남성 > 여성 비율,0.16666666666666666
163,관광특구,한식음식점,남성 > 여성 비율,0.16666666666666666
135,관광특구,치과의원,남성 > 여성 비율,0.16666666666666666
87,골목상권,완구,남성 > 여성 비율,0.16666666666666666
5,발달상권,자동차미용,남성 > 여성 비율,0.16981132075471697
70,골목상권,패스트푸드점,남성 > 여성 비율,0.18253968253968253
95,골목상권,운동/경기용품,남성 > 여성 비율,0.18548387096774194
247,전통시장,일식음식점,남성 > 여성 비율,0.1875
207,전통시장,컴퓨터및주변장치판매,남성 > 여성 비율,0.1875
88,골목상권,조명용품,남성 > 여성 비율,0.1881720430107527
194,전통시장,자동차미용,남성 > 여성 비율,0.2
196,전통시장,패스트푸드점,남성 > 여성 비율,0.2
172,관광특구,여관,남성 > 여성 비율,0.2
101,골목상권,철물점,남성 > 여성 비율,0.20930232558139536
227,전통시장,철물점,남성 > 여성 비율,0.22727272727272727
32,발달상권,운동/경기용품,남성 > 여성 비율,0.2358490566037736
144,관광특구,컴퓨터및주변장치판매,남성 > 여성 비율,0.25
7,발달상권,패스트푸드점,남성 > 여성 비율,0.25120772946859904
26,발달상권,가전제품수리,남성 > 여성 비율,0.25925925925925924
214,전통시장,조명용품,남성 > 여성 비율,0.2647058823529412
19,발달상권,고시원,남성 > 여성 비율,0.2708333333333333
18,발달상권,컴퓨터및주변장치판매,남성 > 여성 비율,0.2727272727272727
82,골목상권,고시원,남성 > 여성 비율,0.2727272727272727
111,골목상권,슈퍼마켓,남성 > 여성 비율,0.2750352609308886
221,전통시장,운동/경기용품,남성 > 여성 비율,0.3181818181818182
41,발달상권,의료기기,남성 > 여성 비율,0.31932773109243695
99,골목상권,분식전문점,남성 > 여성 비율,0.32190760059612517
81,골목상권,컴퓨터및주변장치판매,남성 > 여성 비율,0.32323232323232326
174,관광특구,슈퍼마켓,남성 > 여성 비율,0.3333333333333333
168,관광특구,의약품,남성 > 여성 비율,0.3333333333333333
173,관광특구,PC방,남성 > 여성 비율,0.3333333333333333
184,관광특구,일식음식점,남성 > 여성 비율,0.3333333333333333
141,관광특구,중식음식점,남성 > 여성 비율,0.3333333333333333
158,관광특구,운동/경기용품,남성 > 여성 비율,0.3333333333333333
137,관광특구,양식음식점,남성 > 여성 비율,0.3333333333333333
166,관광특구,안경,남성 > 여성 비율,0.3333333333333333
157,관광특구,인테리어,남성 > 여성 비율,0.3333333333333333
94,골목상권,인테리어,남성 > 여성 비율,0.3514644351464435
89,골목상권,가전제품수리,남성 > 여성 비율,0.35294117647058826
36,발달상권,분식전문점,남성 > 여성 비율,0.3644067796610169
31,발달상권,인테리어,남성 > 여성 비율,0.37333333333333335
245,전통시장,스포츠클럽,남성 > 여성 비율,0.375
104,골목상권,의료기기,남성 > 여성 비율,0.38372093023255816
223,전통시장,가전제품,남성 > 여성 비율,0.391304347826087
180,관광특구,신발,남성 > 여성 비율,0.4
208,전통시장,고시원,남성 > 여성 비율,0.4
165,관광특구,한의원,남성 > 여성 비율,0.4
225,전통시장,분식전문점,남성 > 여성 비율,0.4097560975609756
11,발달상권,양식음식점,남성 > 여성 비율,0.42346938775510207
9,발달상권,치과의원,남성 > 여성 비율,0.4260089686098655
52,발달상권,부동산중개업,남성 > 여성 비율,0.4375
48,발달상권,슈퍼마켓,남성 > 여성 비율,0.4479638009049774
200,전통시장,양식음식점,남성 > 여성 비율,0.45454545454545453
198,전통시장,치과의원,남성 > 여성 비율,0.45454545454545453
192,전통시장,핸드폰,남성 > 여성 비율,0.46808510638297873
84,골목상권,전자상거래업,남성 > 여성 비율,0.48
72,골목상권,치과의원,남성 > 여성 비율,0.48267326732673266
43,발달상권,문구,남성 > 여성 비율,0.484375
66,골목상권,핸드폰,남성 > 여성 비율,0.4859154929577465
16,발달상권,화초,남성 > 여성 비율,0.4895833333333333
34,발달상권,가전제품,남성 > 여성 비율,0.4915254237288136
74,골목상권,양식음식점,남성 > 여성 비율,0.4950980392156863
171,관광특구,예술학원,남성 > 여성 비율,0.5
138,관광특구,반찬가게,남성 > 여성 비율,0.5
143,관광특구,애완동물,남성 > 여성 비율,0.5
56,발달상권,스포츠클럽,남성 > 여성 비율,0.5
147,관광특구,전자상거래업,남성 > 여성 비율,0.5
126,관광특구,수산물판매,남성 > 여성 비율,0.5
142,관광특구,화초,남성 > 여성 비율,0.5
177,관광특구,육류판매,남성 > 여성 비율,0.5
152,관광특구,가전제품수리,남성 > 여성 비율,0.5
3,발달상권,핸드폰,남성 > 여성 비율,0.5172413793103449
103,골목상권,안경,남성 > 여성 비율,0.5193798449612403
119,골목상권,스포츠클럽,남성 > 여성 비율,0.5263157894736842
210,전통시장,전자상거래업,남성 > 여성 비율,0.5263157894736842
220,전통시장,인테리어,남성 > 여성 비율,0.5287356321839081
106,골목상권,문구,남성 > 여성 비율,0.5327868852459017
105,골목상권,의약품,남성 > 여성 비율,0.5380434782608695
42,발달상권,의약품,남성 > 여성 비율,0.5486725663716814
213,전통시장,완구,남성 > 여성 비율,0.5555555555555556
79,골목상권,화초,남성 > 여성 비율,0.562753036437247
75,골목상권,반찬가게,남성 > 여성 비율,0.5629370629370629
92,골목상권,세탁소,남성 > 여성 비율,0.573170731707317
97,골목상권,가전제품,남성 > 여성 비율,0.582089552238806
30,발달상권,시계및귀금속,남성 > 여성 비율,0.5846153846153846
125,골목상권,가구,남성 > 여성 비율,0.5916666666666667
237,전통시장,슈퍼마켓,남성 > 여성 비율,0.593607305936073
230,전통시장,의료기기,남성 > 여성 비율,0.5945945945945946
12,발달상권,반찬가게,남성 > 여성 비율,0.5955882352941176
205,전통시장,화초,남성 > 여성 비율,0.5975609756097561
188,관광특구,가구,남성 > 여성 비율,0.6
62,발달상권,가구,남성 > 여성 비율,0.6049382716049383
93,골목상권,시계및귀금속,남성 > 여성 비율,0.6073298429319371
40,발달상권,안경,남성 > 여성 비율,0.6129032258064516
232,전통시장,문구,남성 > 여성 비율,0.6212121212121212
108,골목상권,예술학원,남성 > 여성 비율,0.6215644820295984
29,발달상권,세탁소,남성 > 여성 비율,0.6277372262773723
251,전통시장,가구,남성 > 여성 비율,0.631578947368421
14,발달상권,미곡판매,남성 > 여성 비율,0.631578947368421
61,발달상권,가방,남성 > 여성 비율,0.6428571428571429
222,전통시장,커피-음료,남성 > 여성 비율,0.6477272727272727
234,전통시장,예술학원,남성 > 여성 비율,0.65
64,골목상권,일반교습학원,남성 > 여성 비율,0.6502057613168725
0,발달상권,수산물판매,남성 > 여성 비율,0.6521739130434783
229,전통시장,안경,남성 > 여성 비율,0.6534653465346535
21,발달상권,전자상거래업,남성 > 여성 비율,0.6547619047619048
190,전통시장,일반교습학원,남성 > 여성 비율,0.6567164179104478
219,전통시장,시계및귀금속,남성 > 여성 비율,0.6585365853658537
73,골목상권,외국어학원,남성 > 여성 비율,0.6639004149377593
54,발달상권,신발,남성 > 여성 비율,0.6666666666666666
155,관광특구,세탁소,남성 > 여성 비율,0.6666666666666666
128,관광특구,피부관리실,남성 > 여성 비율,0.6666666666666666
156,관광특구,시계및귀금속,남성 > 여성 비율,0.6666666666666666
169,관광특구,문구,남성 > 여성 비율,0.6666666666666666
140,관광특구,미곡판매,남성 > 여성 비율,0.6666666666666666
162,관광특구,분식전문점,남성 > 여성 비율,0.6666666666666666
150,관광특구,완구,남성 > 여성 비율,0.6666666666666666
96,골목상권,커피-음료,남성 > 여성 비율,0.6746231155778895
86,골목상권,스포츠 강습,남성 > 여성 비율,0.6808988764044944
77,골목상권,미곡판매,남성 > 여성 비율,0.6842105263157895
114,골목상권,육류판매,남성 > 여성 비율,0.6859903381642513
20,발달상권,서적,남성 > 여성 비율,0.6875
33,발달상권,커피-음료,남성 > 여성 비율,0.691358024691358
243,전통시장,신발,남성 > 여성 비율,0.7027027027027027
51,발달상권,육류판매,남성 > 여성 비율,0.7043478260869566
83,골목상권,서적,남성 > 여성 비율,0.7045454545454546
203,전통시장,미곡판매,남성 > 여성 비율,0.7142857142857143
102,골목상권,한의원,남성 > 여성 비율,0.7177615571776156
117,골목상권,신발,남성 > 여성 비율,0.7183098591549296
231,전통시장,의약품,남성 > 여성 비율,0.7213114754098361
218,전통시장,세탁소,남성 > 여성 비율,0.7241379310344828
1,발달상권,일반교습학원,남성 > 여성 비율,0.7272727272727273
212,전통시장,스포츠 강습,남성 > 여성 비율,0.7325581395348837
10,발달상권,외국어학원,남성 > 여성 비율,0.7326732673267327
124,골목상권,가방,남성 > 여성 비율,0.7391304347826086
120,골목상권,미용실,남성 > 여성 비율,0.7474860335195531
80,골목상권,애완동물,남성 > 여성 비율,0.7480314960629921
149,관광특구,스포츠 강습,남성 > 여성 비율,0.75
129,관광특구,핸드폰,남성 > 여성 비율,0.75
191,전통시장,피부관리실,남성 > 여성 비율,0.7528089887640449
250,전통시장,가방,남성 > 여성 비율,0.7555555555555555
246,전통시장,미용실,남성 > 여성 비율,0.7570093457943925
8,발달상권,섬유제품,남성 > 여성 비율,0.7575757575757576
199,전통시장,외국어학원,남성 > 여성 비율,0.76
201,전통시장,반찬가게,남성 > 여성 비율,0.7653631284916201
45,발달상권,예술학원,남성 > 여성 비율,0.76875
17,발달상권,애완동물,남성 > 여성 비율,0.7741935483870968
122,골목상권,화장품,남성 > 여성 비율,0.7804878048780488
123,골목상권,일반의원,남성 > 여성 비율,0.7807606263982103
65,골목상권,피부관리실,남성 > 여성 비율,0.784452296819788
63,골목상권,수산물판매,남성 > 여성 비율,0.7857142857142857
228,전통시장,한의원,남성 > 여성 비율,0.7883211678832117
209,전통시장,서적,남성 > 여성 비율,0.7916666666666666
39,발달상권,한의원,남성 > 여성 비율,0.7932692307692307
57,발달상권,미용실,남성 > 여성 비율,0.7937219730941704
170,관광특구,네일숍,남성 > 여성 비율,0.8
146,관광특구,서적,남성 > 여성 비율,0.8
4,발달상권,청과상,남성 > 여성 비율,0.8032786885245902
249,전통시장,일반의원,남성 > 여성 비율,0.8079470198675497
197,전통시장,섬유제품,남성 > 여성 비율,0.8090909090909091
71,골목상권,섬유제품,남성 > 여성 비율,0.8106060606060606
59,발달상권,화장품,남성 > 여성 비율,0.8151658767772512
242,전통시장,제과점,남성 > 여성 비율,0.8153846153846154
85,골목상권,일반의류,남성 > 여성 비율,0.822463768115942
67,골목상권,청과상,남성 > 여성 비율,0.8258426966292135
193,전통시장,청과상,남성 > 여성 비율,0.8289473684210527
22,발달상권,일반의류,남성 > 여성 비율,0.8296943231441049
186,관광특구,일반의원,남성 > 여성 비율,0.8333333333333334
185,관광특구,화장품,남성 > 여성 비율,0.8333333333333334
2,발달상권,피부관리실,남성 > 여성 비율,0.8481675392670157
60,발달상권,일반의원,남성 > 여성 비율,0.8504672897196262
23,발달상권,스포츠 강습,남성 > 여성 비율,0.8518518518518519
116,골목상권,제과점,남성 > 여성 비율,0.8575129533678757
240,전통시장,육류판매,남성 > 여성 비율,0.868020304568528
248,전통시장,화장품,남성 > 여성 비율,0.8717948717948718
206,전통시장,애완동물,남성 > 여성 비율,0.88
211,전통시장,일반의류,남성 > 여성 비율,0.8977777777777778
53,발달상권,제과점,남성 > 여성 비율,0.9029126213592233
233,전통시장,네일숍,남성 > 여성 비율,0.9090909090909091
107,골목상권,네일숍,남성 > 여성 비율,0.9096045197740112
189,전통시장,수산물판매,남성 > 여성 비율,0.9111111111111111
44,발달상권,네일숍,남성 > 여성 비율,0.9338235294117647
127,관광특구,일반교습학원,남성 > 여성 비율,1.0
134,관광특구,섬유제품,남성 > 여성 비율,1.0
130,관광특구,청과상,남성 > 여성 비율,1.0
187,관광특구,가방,남성 > 여성 비율,1.0
179,관광특구,제과점,남성 > 여성 비율,1.0
148,관광특구,일반의류,남성 > 여성 비율,1.0
183,관광특구,미용실,남성 > 여성 비율,1.0
145,관광특구,고시원,남성 > 여성 비율,1.0
136,관광특구,외국어학원,남성 > 여성 비율,1.0
159,관광특구,커피-음료,남성 > 여성 비율,1.0
178,관광특구,부동산중개업,남성 > 여성 비율,nan
161,관광특구,자전거 및 기타운송장비,남성 > 여성 비율,nan
