"개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","전화번호","소재지면적","소재지우편번호","지번주소","도로명주소","도로명우편번호","사업장명","최종수정일자","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(X)","좌표정보(Y)","문화체육업종명","문화사업자구분명","총층수","주변환경명","제작취급품목내용","시설면적","지상층수","지하층수","건물용도명","통로너비","조명시설조도","노래방실수","청소년실수","비상계단여부","비상구여부","자동환기여부","청소년실여부","특수조명여부","방음시설여부","비디오재생기명","조명시설유무","음향시설여부","편의시설여부","소방시설여부","총게임기수","기존게임업외업종명","제공게임물명","공연장형태구분명","품목명","최초등록시점","지역구분명"
"3220000","CDFF4220001983000001","19830604","","04","취소/말소/만료/정지/중지","33","지정취소","","","","","","","135931","서울특별시 강남구 역삼동 814-6번지 ","서울특별시 강남구 강남대로 438 (역삼동)","","동아극장 1관","20150513132011","I","2018-08-31 23:59:59.0","","202262.457856142    ","444382.542260289    ","영화상영관","영화상영관","","","","0","","","","","","","","","","","","","","","","","","","","","","영화관","","19830604",""
"3220000","CDFF4220001994000001","19940905","","01","영업/정상","13","영업중","","","","","540-1637","","","서울특별시 강남구 역삼동 816번지 ","서울특별시 강남구 강남대로 422 (역삼동)","06129","메가박스 씨티(강남대로)1관","20160616142125","I","2018-08-31 23:59:59.0","","202310.311355859    ","444240.798282863    ","영화상영관","영화상영관","","","","","10","4","","","","","","","","","","","","","","","","","","","","영화관","","19940905",""
"3220000","CDFF4220001994000002","19940905","","01","영업/정상","13","영업중","","","","","540-1637","","","서울특별시 강남구 역삼동 816번지 ","서울특별시 강남구 강남대로 422 (역삼동)","06129","메가박스 씨티(강남대로)2관","20160616142644","I","2018-08-31 23:59:59.0","","202310.311355859    ","444240.798282863    ","영화상영관","영화상영관","","","","","10","4","","","","","","","","","","","","","","","","","","","","영화관","","19940905",""
"3220000","CDFF4220001994000003","19941107","","03","폐업","03","폐업","20040227","","","","","","135928","서울특별시 강남구 역삼동 772-0번지 ","서울특별시 강남구 언주로 337  (역삼동)","","동영아트홀","20040227131749","I","2018-08-31 23:59:59.0","","203829.432878247    ","443954.517765895    ","영화상영관","영화상영관","","","","","","","","","","","","","","","","","","","","","","","","","","영화관","","19941107",""
"3220000","CDFF4220001994000004","19941223","","04","취소/말소/만료/정지/중지","33","지정취소","","","","","","","135931","서울특별시 강남구 역삼동 814-6번지 ","서울특별시 강남구 강남대로 438 (역삼동)","","동아극장 3관","20150513132219","I","2018-08-31 23:59:59.0","","202262.457856142    ","444382.542260289    ","영화상영관","영화상영관","","","","0","","","","","","","","","","","","","","","","","","","","","","영화관","","19941223",""
"3220000","CDFF4220001995000001","19950215","","01","영업/정상","13","영업중","","","","","","","135811","서울특별시 강남구 논현동 4-15번지 ","서울특별시 강남구 도산대로 128  (논현동)","","씨네마강남 대관","20030208135458","I","2018-08-31 23:59:59.0","","201924.485183724    ","446086.692910222    ","영화상영관","영화상영관","","","","0","","","","","","","","","","","","","","","","","","","","","","","","19950215",""
"3220000","CDFF4220001995000002","19950428","","01","영업/정상","13","영업중","","","","","","","135815","서울특별시 강남구 논현동 58-3번지 ","서울특별시 강남구 학동로 171  (논현동)","","(주)케이엠티브이","20030208135458","I","2018-08-31 23:59:59.0","","202510.175626955    ","445767.512366594    ","영화상영관","영화상영관","0","","","0","0","0","","","","","","","","","","","","","","","","","","","","","","19950428",""
"3220000","CDFF4220001995000003","19950708","","03","폐업","03","폐업","20011123","","","","","","135811","서울특별시 강남구 논현동 3-5번지 ","서울특별시 강남구 도산대로8길 8  (논현동)","","브로드웨이","20030208135458","I","2018-08-31 23:59:59.0","","201869.777642622    ","446024.410215048    ","영화상영관","영화상영관","0","","","0","0","0","","","","","","","","","","","","","","","","","","","","","","19950708",""
"3220000","CDFF4220001996000002","19960726","","03","폐업","03","폐업","20000829","","","","","","135954","서울특별시 강남구 청담동 86-0번지 ","서울특별시 강남구 선릉로 806  (청담동)","","케네마2관","20030208135458","I","2018-08-31 23:59:59.0","","203432.518476036    ","446848.284081545    ","영화상영관","영화상영관","0","","","0","0","0","","","","","","","","","","","","","","","","","","","","","","19960726",""
"3220000","CDFF4220001996000003","19960726","","03","폐업","03","폐업","20000829","","","","","","135954","서울특별시 강남구 청담동 86-0번지 ","서울특별시 강남구 선릉로 806  (청담동)","","케네마1관","20030208135458","I","2018-08-31 23:59:59.0","","203432.518476036    ","446848.284081545    ","영화상영관","영화상영관","0","","","0","0","0","","","","","","","","","","","","","","","","","","","","","","19960726",""
"3220000","CDFF4220001997000001","19971216","","01","영업/정상","13","영업중","","","","","3446-0105","","","서울특별시 강남구 신사동 603-2","서울특별시 강남구 논현로 848 (신사동)","06022","CGV압구정 IMAX관","20220810101123","U","2021-12-07 23:02:00.0","","202478.599525252","446927.624278174","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3220000","CDFF4220001997000002","19971216","","01","영업/정상","13","영업중","","","","","3446-0105","","","서울특별시 강남구 신사동 603-2 ","서울특별시 강남구 논현로 848 (신사동)","","CGV압구정 제2관","20210420102347","U","2021-04-22 02:40:00.0","","202478.599525252    ","446927.624278174    ","영화상영관","영화상영관","","","","","","","","","","","","","","","","","","","","","","","","","","영화관","","19971216",""
"3220000","CDFF4220001997000003","19971216","","01","영업/정상","13","영업중","","","","","3446-0105","","","서울특별시 강남구 신사동 603-2 ","서울특별시 강남구 논현로 848 (신사동)","","CGV압구정 제3관","20210420102548","U","2021-04-22 02:40:00.0","","202478.599525252    ","446927.624278174    ","영화상영관","영화상영관","","","","","","","","","","","","","","","","","","","","","","","","","","영화관","","19971216",""
"3220000","CDFF4220001998000001","19980309","","03","폐업","03","폐업","20011123","","","","","","135811","서울특별시 강남구 논현동 3-1번지 ","서울특별시 강남구 도산대로 118  (논현동)","","브로드웨이 1관","20030208135458","I","2018-08-31 23:59:59.0","","201851.18           ","446049.025          ","영화상영관","영화상영관","0","","","0","0","0","","","","","","","","","","","","","","","","","","","","","","19980309",""
"3220000","CDFF4220001998000002","19980309","","03","폐업","03","폐업","20011123","","","","","","135811","서울특별시 강남구 논현동 3-1번지 ","서울특별시 강남구 도산대로 118  (논현동)","","브로드웨이 2관","20030208135458","I","2018-08-31 23:59:59.0","","201851.18           ","446049.025          ","영화상영관","영화상영관","0","","","0","0","0","","","","","","","","","","","","","","","","","","","","","","19980309",""
"3220000","CDFF4220001998000003","19980309","","01","영업/정상","13","영업중","","","","","","","135822","서울특별시 강남구 논현동 123-2번지 ","서울특별시 강남구 학동로 118  (논현동)","","강남비디오소극장","20030208135458","I","2018-08-31 23:59:59.0","","202039.740381753    ","445481.884402405    ","영화상영관","영화상영관","","","","0","","","","","","","","","","","","","","","","","","","","","","","","19980309",""
"3220000","CDFF4220001998000004","19980309","","01","영업/정상","13","영업중","","","","","","","135819","서울특별시 강남구 논현동 97-26번지 ","서울특별시 강남구 언주로150길 14  (논현동)","","씨네예술관 1관","20030208135458","I","2018-08-31 23:59:59.0","","203069.212130947    ","446531.904120139    ","영화상영관","영화상영관","","","","0","","","","","","","","","","","","","","","","","","","","","","","","19980309",""
"3220000","CDFF4220001998000005","19980309","","01","영업/정상","13","영업중","","","","","","","135819","서울특별시 강남구 논현동 97-26번지 ","서울특별시 강남구 언주로150길 14  (논현동)","","씨네예술관 2관","20030208135458","I","2018-08-31 23:59:59.0","","203069.212130947    ","446531.904120139    ","영화상영관","영화상영관","","","","0","","","","","","","","","","","","","","","","","","","","","","","","19980309",""
"3220000","CDFF4220001998000006","19980309","","01","영업/정상","13","영업중","","","","","","","135811","서울특별시 강남구 논현동 4-15번지 ","서울특별시 강남구 도산대로 128  (논현동)","","씨네마강남 1관","20030208135458","I","2018-08-31 23:59:59.0","","201924.485183724    ","446086.692910222    ","영화상영관","영화상영관","","","","0","","","","","","","","","","","","","","","","","","","","","","","","19980309",""
"3220000","CDFF4220001998000007","19980309","","01","영업/정상","13","영업중","","","","","","","135811","서울특별시 강남구 논현동 4-15번지 ","서울특별시 강남구 도산대로 128  (논현동)","","씨네마강남 2관","20030208135458","I","2018-08-31 23:59:59.0","","201924.485183724    ","446086.692910222    ","영화상영관","영화상영관","","","","0","","","","","","","","","","","","","","","","","","","","","","","","19980309",""
"3220000","CDFF4220001998000008","19980309","","03","폐업","03","폐업","20000426","","","","","","135931","서울특별시 강남구 역삼동 814-6번지 ","서울특별시 강남구 강남대로 438  (역삼동)","","동아극장 2관","20030208135458","I","2018-08-31 23:59:59.0","","202262.457856142    ","444382.542260289    ","영화상영관","영화상영관","","","","0","","","","","","","","","","","","","","","","","","","","","","","","19980309",""
"3220000","CDFF4220001998000009","19980616","","03","폐업","03","폐업","19991105","","","","","","135825","서울특별시 강남구 논현동 164번지 ","서울특별시 강남구 강남대로 520  (논현동)","","파라마운트비디오소극장","20030208135458","I","2018-08-31 23:59:59.0","","201962.838798283    ","445158.311972517    ","영화상영관","영화상영관","","","","0","","","","","","","","","","","","","","","","","","","","","","","","19980616",""
"3220000","CDFF4220001999000002","19990403","","01","영업/정상","13","영업중","","","","","","","135811","서울특별시 강남구 논현동 1-3번지 ","서울특별시 강남구 도산대로 108  (논현동)","","클래식시네마스페이스(주)","20030208135458","I","2018-08-31 23:59:59.0","","201753.188497176    ","446003.445191841    ","영화상영관","영화상영관","0","","","0","0","2","","","","","","","","","","","","","","","","","","","","","","19990403",""
"3220000","CDFF4220001999000003","19990816","","03","폐업","03","폐업","20080829","","","","","","135825","서울특별시 강남구 논현동 164-7번지 ","서울특별시 강남구 강남대로 510  (논현동)","","뤼미에르 1관","20080829190831","I","2018-08-31 23:59:59.0","","201996.425          ","445069.98           ","영화상영관","영화상영관","","","","","","","","","","","","","","","","","","","","","","","","","","영화관","","19990816",""
"3220000","CDFF4220001999000004","19990816","","03","폐업","03","폐업","20080829","","","","","","135825","서울특별시 강남구 논현동 164-7번지 ","서울특별시 강남구 강남대로 510  (논현동)","","뤼미에르 2관","20080829190900","I","2018-08-31 23:59:59.0","","201996.425          ","445069.98           ","영화상영관","영화상영관","","","","","","","","","","","","","","","","","","","","","","","","","","영화관","","19990816",""
"3220000","CDFF4220001999000005","19990816","","03","폐업","03","폐업","20080829","","","","","","135825","서울특별시 강남구 논현동 164-7번지 ","서울특별시 강남구 강남대로 510  (논현동)","","뤼미에르 3관","20080829190931","I","2018-08-31 23:59:59.0","","201996.425          ","445069.98           ","영화상영관","영화상영관","","","","","","","","","","","","","","","","","","","","","","","","","","영화관","","19990816",""
"3220000","CDFF4220001999000006","19991011","","01","영업/정상","13","영업중","","","","","","","135819","서울특별시 강남구 논현동 91-6번지 ","서울특별시 강남구 도산대로 310  (논현동)","","씨네하우스 1관","20030208135458","I","2018-08-31 23:59:59.0","","203064.64017084     ","446594.319138687    ","영화상영관","영화상영관","","","","0","","","","","","","","","","","","","","","","","","","","","","","","19991011",""
"3220000","CDFF4220001999000007","19991011","","01","영업/정상","13","영업중","","","","","","","135819","서울특별시 강남구 논현동 91-6번지 ","서울특별시 강남구 도산대로 310  (논현동)","","씨네하우스 4관","20030208135458","I","2018-08-31 23:59:59.0","","203064.64017084     ","446594.319138687    ","영화상영관","영화상영관","","","","0","","","","","","","","","","","","","","","","","","","","","","","","19991011",""
"3220000","CDFF4220001999000008","19991011","","01","영업/정상","13","영업중","","","","","","","135819","서울특별시 강남구 논현동 91-6번지 ","서울특별시 강남구 도산대로 310  (논현동)","","씨네하우스 2관","20030208135458","I","2018-08-31 23:59:59.0","","203064.64017084     ","446594.319138687    ","영화상영관","영화상영관","","","","0","","","","","","","","","","","","","","","","","","","","","","","","19991011",""
"3220000","CDFF4220001999000009","19991011","","01","영업/정상","13","영업중","","","","","","","135819","서울특별시 강남구 논현동 91-6번지 ","서울특별시 강남구 도산대로 310  (논현동)","","씨네하우스 3관","20030208135458","I","2018-08-31 23:59:59.0","","203064.64017084     ","446594.319138687    ","영화상영관","영화상영관","","","","0","","","","","","","","","","","","","","","","","","","","","","","","19991011",""
"3220000","CDFF4220001999000010","19991206","","03","폐업","03","폐업","20170426","","","","","","135916","서울특별시 강남구 역삼동 679-1번지 ","서울특별시 강남구 논현로 508 (역삼동)","","LG아트센터","20170426165458","I","2018-08-31 23:59:59.0","","203228.130613149    ","444416.137100893    ","영화상영관","영화상영관","","","","0","","","","","","","","","","","","","","","","","","","","","","영화관","","19991206",""
"3220000","CDFF4220001999000011","19991222","","01","영업/정상","13","영업중","","","","","540-1637","","","서울특별시 강남구 역삼동 816-7번지 ","서울특별시 강남구 강남대로 422 (역삼동)","","메가박스 씨티(강남대로)3관","20160616140746","I","2018-08-31 23:59:59.0","","202337.221506272    ","444235.284645944    ","영화상영관","영화상영관","","","","","","","","","","","","","","","","","","","","","","","","","","영화관","","19991222",""
"3220000","CDFF4220001999000012","19991222","","01","영업/정상","13","영업중","","","","","540-1637","","","서울특별시 강남구 역삼동 816-7번지 ","서울특별시 강남구 강남대로 422 (역삼동)","","메가박스 씨티(강남대로)4관","20160616142601","I","2018-08-31 23:59:59.0","","202337.221506272    ","444235.284645944    ","영화상영관","영화상영관","","","","","","","","","","","","","","","","","","","","","","","","","","영화관","","19991222",""
"3220000","CDFF4220002000000001","20000504","","01","영업/정상","13","영업중","","","","","","","","서울특별시 강남구 삼성동 159 ","서울특별시 강남구 영동대로 513 (삼성동 코엑스)","06164","코엑스 Dolby Cinema","20211215165232","U","2021-12-17 02:40:00.0","","205130.591678902    ","445590.096837802    ","영화상영관","영화상영관","0","","","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","영화관","","20000504",""
"3220000","CDFF4220002000000002","20000504","","01","영업/정상","13","영업중","","","","","","","","서울특별시 강남구 논현동 6-3 ","서울특별시 강남구 도산대로 152 2~3층 (논현동 영동빌딩)","06040","코엑스 컴포트 2관","20211215164940","U","2021-12-17 02:40:00.0","","202160.331920404    ","446215.935571418    ","영화상영관","영화상영관","0","","","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","영화관","","20000504",""
"3220000","CDFF4220002000000003","20000504","","01","영업/정상","BBBB","","","","","","","","135090","서울특별시 강남구 삼성동 159-0번지 ","서울특별시 강남구 영동대로 511  (삼성동)","","메가박스씨네플렉스(주)","20030208135458","I","2018-08-31 23:59:59.0","","205130.591678902    ","445590.096837802    ","영화상영관","영화상영관","0","","","0","0","0","","","","","","","","","","","","","","","","","","","","","","20000504",""
"3220000","CDFF4220002000000004","20000504","","01","영업/정상","BBBB","","","","","","","","135090","서울특별시 강남구 삼성동 159-0번지 ","서울특별시 강남구 영동대로 511  (삼성동)","","메가박스씨네플렉스(주)","20030208135458","I","2018-08-31 23:59:59.0","","205130.591678902    ","445590.096837802    ","영화상영관","영화상영관","0","","","0","0","0","","","","","","","","","","","","","","","","","","","","","","20000504",""
"3220000","CDFF4220002000000005","20000504","","01","영업/정상","BBBB","","","","","","","","135090","서울특별시 강남구 삼성동 159-0번지 ","서울특별시 강남구 영동대로 511  (삼성동)","","메가박스씨네플렉스(주)","20030208135458","I","2018-08-31 23:59:59.0","","205130.591678902    ","445590.096837802    ","영화상영관","영화상영관","0","","","0","0","0","","","","","","","","","","","","","","","","","","","","","","20000504",""
"3220000","CDFF4220002000000006","20000504","","01","영업/정상","BBBB","","","","","","","","135090","서울특별시 강남구 삼성동 159-0번지 ","서울특별시 강남구 영동대로 511  (삼성동)","","메가박스씨네플렉스(주)","20030208135458","I","2018-08-31 23:59:59.0","","205130.591678902    ","445590.096837802    ","영화상영관","영화상영관","0","","","0","0","0","","","","","","","","","","","","","","","","","","","","","","20000504",""
"3220000","CDFF4220002000000007","20000504","","01","영업/정상","BBBB","","","","","","","","135090","서울특별시 강남구 삼성동 159-0번지 ","서울특별시 강남구 영동대로 511  (삼성동)","","메가박스씨네플렉스(주)","20030208135458","I","2018-08-31 23:59:59.0","","205130.591678902    ","445590.096837802    ","영화상영관","영화상영관","0","","","0","0","0","","","","","","","","","","","","","","","","","","","","","","20000504",""
"3220000","CDFF4220002000000008","20000504","","01","영업/정상","BBBB","","","","","","","","135090","서울특별시 강남구 삼성동 159-0번지 ","서울특별시 강남구 영동대로 511  (삼성동)","","메가박스씨네플렉스(주)","20030208135458","I","2018-08-31 23:59:59.0","","205130.591678902    ","445590.096837802    ","영화상영관","영화상영관","0","","","0","0","0","","","","","","","","","","","","","","","","","","","","","","20000504",""
"3220000","CDFF4220002000000009","20000504","","01","영업/정상","BBBB","","","","","","","","135090","서울특별시 강남구 삼성동 159-0번지 ","서울특별시 강남구 영동대로 511  (삼성동)","","메가박스씨네플렉스(주)","20030208135458","I","2018-08-31 23:59:59.0","","205130.591678902    ","445590.096837802    ","영화상영관","영화상영관","0","","","0","0","0","","","","","","","","","","","","","","","","","","","","","","20000504",""
"3220000","CDFF4220002000000010","20000504","","01","영업/정상","BBBB","","","","","","","","135090","서울특별시 강남구 삼성동 159-0번지 ","서울특별시 강남구 영동대로 511  (삼성동)","","메가박스씨네플렉스(주)","20030208135458","I","2018-08-31 23:59:59.0","","205130.591678902    ","445590.096837802    ","영화상영관","영화상영관","0","","","0","0","0","","","","","","","","","","","","","","","","","","","","","","20000504",""
"3220000","CDFF4220002000000011","20000504","","01","영업/정상","BBBB","","","","","","","","135090","서울특별시 강남구 삼성동 159-0번지 ","서울특별시 강남구 영동대로 511  (삼성동)","","메가박스씨네플렉스(주)","20030208135458","I","2018-08-31 23:59:59.0","","205130.591678902    ","445590.096837802    ","영화상영관","영화상영관","0","","","0","0","0","","","","","","","","","","","","","","","","","","","","","","20000504",""
"3220000","CDFF4220002000000012","20000504","","01","영업/정상","BBBB","","","","","","","","135090","서울특별시 강남구 삼성동 159-0번지 ","서울특별시 강남구 영동대로 511  (삼성동)","","메가박스씨네플렉스(주)","20030208135458","I","2018-08-31 23:59:59.0","","205130.591678902    ","445590.096837802    ","영화상영관","영화상영관","0","","","0","0","0","","","","","","","","","","","","","","","","","","","","","","20000504",""
"3220000","CDFF4220002000000013","20000504","","01","영업/정상","BBBB","","","","","","","","135090","서울특별시 강남구 삼성동 159-0번지 ","서울특별시 강남구 영동대로 511  (삼성동)","","메가박스씨네플렉스(주)","20030208135458","I","2018-08-31 23:59:59.0","","205130.591678902    ","445590.096837802    ","영화상영관","영화상영관","0","","","0","0","0","","","","","","","","","","","","","","","","","","","","","","20000504",""
"3220000","CDFF4220002000000014","20000504","","01","영업/정상","BBBB","","","","","","","","135090","서울특별시 강남구 삼성동 159-0번지 ","서울특별시 강남구 영동대로 511  (삼성동)","","메가박스씨네플렉스(주)","20030208135458","I","2018-08-31 23:59:59.0","","205130.591678902    ","445590.096837802    ","영화상영관","영화상영관","0","","","0","0","0","","","","","","","","","","","","","","","","","","","","","","20000504",""
"3220000","CDFF4220002000000015","20000504","","01","영업/정상","BBBB","","","","","","","","135090","서울특별시 강남구 삼성동 159-0번지 ","서울특별시 강남구 영동대로 511  (삼성동)","","메가박스씨네플렉(주)","20030208135458","I","2018-08-31 23:59:59.0","","205130.591678902    ","445590.096837802    ","영화상영관","영화상영관","0","","","0","0","0","","","","","","","","","","","","","","","","","","","","","","20000504",""
"3220000","CDFF4220002000000016","20000504","","01","영업/정상","BBBB","","","","","","","","135090","서울특별시 강남구 삼성동 159-0번지 ","서울특별시 강남구 영동대로 511  (삼성동)","","메가박스씨네플렉스(주)","20030208135458","I","2018-08-31 23:59:59.0","","205130.591678902    ","445590.096837802    ","영화상영관","영화상영관","0","","","0","0","0","","","","","","","","","","","","","","","","","","","","","","20000504",""
"3220000","CDFF4220002000000017","20000727","","01","영업/정상","13","영업중","","","","","","","135931","서울특별시 강남구 역삼동 814-6번지 ","서울특별시 강남구 강남대로 438  (역삼동)","","(주)강제규필름","20030208135458","I","2018-08-31 23:59:59.0","","202262.457856142    ","444382.542260289    ","영화상영관","영화상영관","0","","","0","0","0","","","","","","","","","","","","","","","","","","","","","","20000727",""
"3220000","CDFF4220002000000018","20000727","","01","영업/정상","13","영업중","","","","","","","135931","서울특별시 강남구 역삼동 814-6번지 ","서울특별시 강남구 강남대로 438  (역삼동)","","주공공이2관","20030208135458","I","2018-08-31 23:59:59.0","","202262.457856142    ","444382.542260289    ","영화상영관","영화상영관","0","","","0","0","0","","","","","","","","","","","","","","","","","","","","","","20000727",""
"3220000","CDFF4220002000000019","20000727","","01","영업/정상","13","영업중","","","","","","","135931","서울특별시 강남구 역삼동 814-6번지 ","서울특별시 강남구 강남대로 438  (역삼동)","","주공공이3관","20030208135458","I","2018-08-31 23:59:59.0","","202262.457856142    ","444382.542260289    ","영화상영관","영화상영관","0","","","0","0","0","","","","","","","","","","","","","","","","","","","","","","20000727",""
"3220000","CDFF4220002000000020","20000727","","01","영업/정상","13","영업중","","","","","","","135931","서울특별시 강남구 역삼동 814-6번지 ","서울특별시 강남구 강남대로 438  (역삼동)","","주공공이4관","20030208135458","I","2018-08-31 23:59:59.0","","202262.457856142    ","444382.542260289    ","영화상영관","영화상영관","0","","","0","0","0","","","","","","","","","","","","","","","","","","","","","","20000727",""
"3220000","CDFF4220002000000021","20001020","","01","영업/정상","13","영업중","","","","","","","135811","서울특별시 강남구 논현동 1-3번지 ","서울특별시 강남구 도산대로 108  (논현동)","","클래식시네마스페이스(주)","20030208135458","I","2018-08-31 23:59:59.0","","201753.188497176    ","446003.445191841    ","영화상영관","영화상영관","0","","","0","0","0","","","","","","","","","","","","","","","","","","","","","","20001020",""
"3220000","CDFF4220002000000022","20000504","","01","영업/정상","13","영업중","","","","","","","","서울특별시 강남구 삼성동 159 ","서울특별시 강남구 영동대로 513 (삼성동 코엑스)","06164","코엑스 컴포트 3관","20211215164536","U","2021-12-17 02:40:00.0","","205130.591678902    ","445590.096837802    ","영화상영관","영화상영관","0","","","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","영화관","","20000504",""
